country,date_parsed,weekday,day,month,name_of_holiday,date_of_holiday,year_of_event,independence_from,year,date_mdy
Iraq,03-10-1932,Monday,3,Oct,"Unspecified (1932, United Kingdom)",Oct-03,1932,United Kingdom,1932,"October 3, 1932"
Ireland,24-04-1916,Monday,24,Apr,"Unspecified (1916, United Kingdom of Great Britain and Ireland)",Apr-24,1916,United Kingdom of Great Britain and Ireland,1916,"April 24, 1916"
Israel,14-05-1948,Friday,14,May,Yom Ha'atzmaut,May-14,1948,United Kingdom and the British Mandate for Palestine,1948,"May 14, 1948"
Ivory Coast,07-08-1960,Sunday,7,Aug,"Unspecified (1960, France)",Aug-07,1960,France,1960,"August 7, 1960"
Jamaica,06-08-1962,Monday,6,Aug,"Unspecified (1962, United Kingdom)",Aug-06,1962,United Kingdom,1962,"August 6, 1962"
Jordan,25-05-1946,Saturday,25,May,Independence Day,May-25,1946,United Kingdom,1946,"May 25, 1946"
Kazakhstan,16-12-1991,Monday,16,Dec,Independence Day,Dec-16,1991,Soviet Union,1991,"December 16, 1991"
Kenya,12-12-1963,Thursday,12,Dec,Jamhuri Day,Dec-12,1963,United Kingdom,1963,"December 12, 1963"
Kiribati,12-07-1979,Thursday,12,Jul,"Unspecified (1979, United Kingdom)",Jul-12,1979,United Kingdom,1979,"July 12, 1979"
North Korea,15-08-1945,Wednesday,15,Aug,Chogukhaebangŭi nal,Aug-15,1945,Empire of Japan,1945,"August 15, 1945"
South Korea,01-03-1919,Saturday,1,Mar,Samiljeol,Mar-01,1919,Empire of Japan,1919,"March 1, 1919"
South Korea,15-08-1945,Wednesday,15,Aug,Gwangbokjeol,Aug-15,1945,Empire of Japan,1945,"August 15, 1945"
Kuwait,25-02-1961,Saturday,25,Feb,"Unspecified (1961, United Kingdom)",Feb-25,1961,United Kingdom,1961,"February 25, 1961"
Kyrgyzstan,31-08-1991,Saturday,31,Aug,Independence Day,Aug-31,1991,Soviet Union,1991,"August 31, 1991"
Latvia,18-11-1918,Monday,18,Nov,Proclamation Day of the Republic of Latvia,Nov-18,1918,Russian Soviet Federative Socialist Republic and German Empire,1918,"November 18, 1918"
Latvia,04-05-1990,Friday,4,May,"Unspecified (1990, Soviet Union)",May-04,1990,Soviet Union,1990,"May 4, 1990"
Lebanon,22-11-1943,Monday,22,Nov,Independence Day,Nov-22,1943,France,1943,"November 22, 1943"
Lesotho,04-10-1966,Tuesday,4,Oct,"Unspecified (1966, United Kingdom)",Oct-04,1966,United Kingdom,1966,"October 4, 1966"
Liberia,1847-07-26,Monday,26,Jul,Independence Day,Jul-26,1847,American Colonization Society,1847,"July 26, 1847"
Libya,24-12-1951,Monday,24,Dec,"Unspecified (1951, Italy)",Dec-24,1951,Italy,1951,"December 24, 1951"
Lithuania,16-02-1918,Saturday,16,Feb,Statehood Restoration Day,Feb-16,1918,Russian Soviet Federative Socialist Republic and German Empire,1918,"February 16, 1918"
Lithuania,11-03-1990,Sunday,11,Mar,Independence Restoration Day,Mar-11,1990,Soviet Union,1990,"March 11, 1990"
Madagascar,26-06-1960,Sunday,26,Jun,"Unspecified (1960, France)",Jun-26,1960,France,1960,"June 26, 1960"
Malawi,06-07-1964,Monday,6,Jul,"Unspecified (1964, United Kingdom)",Jul-06,1964,United Kingdom,1964,"July 6, 1964"
Malaysia,31-08-1957,Saturday,31,Aug,Hari Merdeka,Aug-31,1957,United Kingdom,1957,"August 31, 1957"
Maldives,26-07-1965,Monday,26,Jul,"Unspecified (1965, United Kingdom)",Jul-26,1965,United Kingdom,1965,"July 26, 1965"
Mali,22-09-1960,Thursday,22,Sep,"Unspecified (1960, France)",Sep-22,1960,France,1960,"September 22, 1960"
Malta,21-09-1964,Monday,21,Sep,Independence Day,Sep-21,1964,United Kingdom,1964,"September 21, 1964"
Mauritania,28-11-1960,Monday,28,Nov,"Unspecified (1960, France)",Nov-28,1960,France,1960,"November 28, 1960"
Mauritius,12-03-1968,Tuesday,12,Mar,"Unspecified (1968, United Kingdom)",Mar-12,1968,United Kingdom,1968,"March 12, 1968"
Mexico,1810-09-16,Sunday,16,Sep,Grito de DoloresDía de la Independéncia,Sep-16,1810,Spanish Empire,1810,"September 16, 1810"
Micronesia,03-11-1986,Monday,3,Nov,Independence Day,Nov-03,1986,United States,1986,"November 3, 1986"
Moldova,27-08-1991,Tuesday,27,Aug,Independence Day,Aug-27,1991,Soviet Union,1991,"August 27, 1991"
Mongolia,29-12-1911,Friday,29,Dec,Independence Day,Dec-29,1911,Qing China[65][66],1911,"December 29, 1911"
Montenegro,21-05-2006,Sunday,21,May,"Unspecified (2006, Serbia and Montenegro)",May-21,2006,Serbia and Montenegro,2006,"May 21, 2006"
Morocco,11-01-1944,Tuesday,11,Jan,Proclamation of Independence Day,Jan-11,1944,France and Spain,1944,"January 11, 1944"
Morocco,18-11-1955,Friday,18,Nov,Independence Day,Nov-18,1955,France and Spain,1955,"November 18, 1955"
Mozambique,25-06-1975,Wednesday,25,Jun,Independence DayDia da Independência Nacional,Jun-25,1975,Portugal,1975,"June 25, 1975"
